,Best Fitness,Average Fitness,Diversity Fitness,Diversity Population,Time spent
0,-572.3991586630075,-2062.503151734565,1040.1278823917175,58.5625,3873.1416244506836
1,-526.5558765089582,-1910.3372842804438,1004.6660084673572,59.34242021276596,3873.1416244506836
2,-305.0827225582916,-1857.7119295534806,1141.833454693305,59.303634751773046,3873.1416244506836
3,-519.2246648107518,-1171.8076342982838,642.4895227706983,57.529476950354606,3873.1416244506836
4,-325.323322606163,-1195.8586932384612,628.4585117668377,54.95168439716312,3873.1416244506836
5,-420.1278944683055,-1244.3417870704493,898.2847409546237,51.7145390070922,3873.1416244506836
6,-320.7965357675754,-1235.504060776689,780.7998857152082,49.738918439716315,3873.1416244506836
7,-452.2849685911125,-1060.434162197391,545.9710811956446,49.95811170212766,3873.1416244506836
8,-358.37497744213175,-1024.107195765351,591.4346785991122,48.118129432624116,3873.1416244506836
9,-371.71702978357973,-1020.9009156261824,670.6858141097814,50.10992907801418,3873.1416244506836
10,-440.728411411409,-833.4062582049793,416.6060034113,46.3074024822695,3873.1416244506836
11,-495.3697523807133,-819.0746612002572,377.45717596911726,44.951462765957444,3873.1416244506836
12,-372.6643175685051,-746.6645734963145,434.4596069480361,40.48071808510638,3873.1416244506836
13,-408.2676609638648,-845.6522459410161,542.5666915603008,38.121675531914896,3873.1416244506836
14,-452.45916859338547,-751.0179634326605,363.25488236161556,38.37056737588652,3873.1416244506836
15,-396.11647217872735,-896.2594708594061,740.136103085398,33.718528368794324,3873.1416244506836
16,-462.39008724262294,-800.4294071776822,510.58972381280796,37.445035460992905,3873.1416244506836
17,-440.6130778215386,-733.0052089845573,359.62373436666013,35.98847517730496,3873.1416244506836
18,-431.6065803369309,-704.9591328374605,278.77003157484086,38.652925531914896,3873.1416244506836
19,-425.03701740837937,-760.8501899643579,460.5685774291225,36.59375,3873.1416244506836
20,-464.6889798328463,-821.4308299018903,476.6912727650661,27.81117021276596,3873.1416244506836
21,-363.8657414161819,-671.7718743293054,280.6629274498776,25.84419326241135,3873.1416244506836
22,-489.08668025010843,-872.65563606937,770.7721282289198,31.539893617021278,3873.1416244506836
23,-262.31633452736776,-866.0606140386677,1005.9541462162697,31.977393617021278,3873.1416244506836
24,-456.1367519680535,-822.6807975843493,592.7442652566665,31.24423758865248,3873.1416244506836
25,-410.3264044525571,-647.1634137983732,116.74511676968568,27.52061170212766,3873.1416244506836
26,-449.2561652979048,-746.6562959617773,472.94087764873524,30.453014184397162,3873.1416244506836
27,-476.38957556120715,-765.3445737756757,427.5056022155288,30.806959219858157,3873.1416244506836
28,-415.4803364787428,-721.3122700252292,303.70794623205376,29.284574468085108,3873.1416244506836
