,Best Fitness,Average Fitness,Diversity Fitness,Diversity Population,Time spent
0,-536.835709278087,-2123.770743743156,1074.4636547774903,63.76218971631206,3528.0475130081177
1,-463.25659752038734,-1974.842220037962,1152.232518950444,64.37544326241135,3528.0475130081177
2,-470.23175782706085,-2228.6429067662752,1526.1328937216076,65.68107269503547,3528.0475130081177
3,-598.6749314660383,-2139.0195970590116,1049.1417169938495,66.96985815602837,3528.0475130081177
4,-440.97618589231195,-2139.980917908117,1057.4135633886972,66.78102836879432,3528.0475130081177
5,-524.26802759954,-2096.2052744495563,963.0469834581551,67.96586879432624,3528.0475130081177
6,-521.5867410702771,-1977.110753823319,998.7955165645132,68.07779255319149,3528.0475130081177
7,-582.3562717512376,-1990.9874218412895,1057.5986675034621,68.95966312056737,3528.0475130081177
8,-469.39399632068523,-1948.956200120636,1117.7580363291663,69.62743794326241,3528.0475130081177
9,-474.62516467360376,-2173.580376487416,1361.241419440973,69.47074468085107,3528.0475130081177
10,-579.907540443857,-2244.3472494448347,1354.0755059370806,68.72384751773049,3528.0475130081177
11,-535.4078103540743,-2336.2127280677437,1448.0236489791018,68.73825354609929,3528.0475130081177
12,-468.85264834938954,-2101.031458805835,1347.5908672244425,69.67021276595744,3528.0475130081177
13,-573.6282216092947,-1978.3746678526525,1069.645338376563,69.90137411347517,3528.0475130081177
14,-268.5347962341416,-2149.7097096723064,1184.7122372025103,69.66555851063829,3528.0475130081177
15,-486.6896505915598,-2463.2345281669172,1683.8646195925614,68.73093971631205,3528.0475130081177
16,-569.3172354838606,-2335.9246483549355,1553.1481930748412,68.00310283687944,3528.0475130081177
17,-586.8117018167172,-2250.652857940196,1027.9469176998505,69.08244680851064,3528.0475130081177
18,-377.5051943196454,-2388.1240078234387,1250.8271488222329,68.49889184397163,3528.0475130081177
19,-549.184804081147,-2250.0214288961142,1198.2157867328626,67.80895390070921,3528.0475130081177
20,-500.6995129824787,-2418.2257912804157,1089.508295613339,67.51041666666667,3528.0475130081177
21,-527.8530009742858,-2218.2311845277104,1034.986064906184,68.03036347517731,3528.0475130081177
22,-417.6878651950048,-2316.454825509454,982.8316392969858,68.48847517730496,3528.0475130081177
23,-450.81857418334664,-2280.1589648196873,1321.4089646903099,66.52792553191489,3528.0475130081177
24,-563.3112475705809,-2236.4360451632692,1132.6570355634071,68.34773936170212,3528.0475130081177
25,-556.410251518917,-2273.0320142313517,1083.5182372085474,68.7956560283688,3528.0475130081177
26,-555.5599514731119,-2233.7421828450497,1112.7579405540748,68.29011524822695,3528.0475130081177
27,-513.5416470788381,-2181.90006848717,1117.311118680588,67.5480939716312,3528.0475130081177
28,-599.0529777726532,-2221.238973937597,1184.664472357525,67.79277482269504,3528.0475130081177
29,-570.043221527611,-2056.6614204879074,1116.39211562691,67.77460106382979,3528.0475130081177
30,-305.99176179289304,-2206.7922350012554,1116.5552467191806,68.60704787234043,3528.0475130081177
31,-484.35698557013984,-2259.5503311321163,1485.7701852014106,69.27570921985816,3528.0475130081177
32,-589.9559796141401,-2061.64770619993,1351.08081287722,67.77415780141844,3528.0475130081177
33,-376.4488094659474,-2094.001536255502,1291.5343035810622,68.43838652482269,3528.0475130081177
34,-577.7943909348448,-2055.1274225481307,1445.8253397823346,69.14406028368795,3528.0475130081177
35,-570.7865040071205,-1926.0530540375419,1136.0779964113221,69.34463652482269,3528.0475130081177
36,-543.9171256224124,-2076.803420361894,1121.4823317533894,68.72362588652483,3528.0475130081177
37,-542.1269281117374,-2105.820515148436,1142.571449479238,68.15602836879432,3528.0475130081177
38,-558.4748232815934,-2026.3842679978773,1269.6810573045684,66.59618794326241,3528.0475130081177
39,-514.6935031837493,-1872.66021979602,890.0543910378825,67.09109042553192,3528.0475130081177
40,-498.981248908619,-1915.6525051276205,1037.1536869664506,67.09286347517731,3528.0475130081177
41,-538.9394494834035,-2076.68839601619,1103.4403182657168,66.30341312056737,3528.0475130081177
42,-517.3934226385261,-1961.732458671956,1094.882830522073,66.84751773049645,3528.0475130081177
43,-507.3252340013926,-2055.339859462836,1079.1310128274172,66.37256205673759,3528.0475130081177
44,-350.645669980819,-2209.6332973836966,1230.889009859074,66.46409574468085,3528.0475130081177
45,-469.7780561071296,-2210.5310795003456,1041.1002745945766,66.56604609929079,3528.0475130081177
46,-381.5721573871502,-2198.023846872678,1244.0754337498126,64.72007978723404,3528.0475130081177
47,-394.3815527862487,-2123.793544374292,1186.2243376073354,65.77748226950355,3528.0475130081177
48,-499.6160336188717,-2148.792130432186,1321.9937352872585,67.01750886524823,3528.0475130081177
49,-221.32816114553015,-1956.7412539512877,1116.2560758501909,66.80562943262412,3528.0475130081177
50,-525.6463445775073,-2025.9875542880563,1142.1852115148943,68.98160460992908,3528.0475130081177
51,-389.1271802370838,-1950.3793593094606,1067.9953502058786,69.05252659574468,3528.0475130081177
52,-445.69216949135534,-1889.1039269152252,1260.9859715590255,67.86192375886525,3528.0475130081177
53,-374.7162334063315,-2095.71590534362,1467.1002131762732,68.04055851063829,3528.0475130081177
54,-568.3457631914061,-1872.9305046063944,1070.3683993643597,67.96609042553192,3528.0475130081177
55,-494.60612767241423,-2027.7373580657138,1195.4402479481946,68.11502659574468,3528.0475130081177
56,-533.430828187119,-2023.744286113453,1023.8335448057157,67.87544326241135,3528.0475130081177
57,-393.71229352216227,-1892.2918043091456,959.1458489404926,67.94304078014184,3528.0475130081177
58,-147.29398186685,-2127.3149879344696,1413.630201378015,69.0684840425532,3528.0475130081177
