,Best Fitness,Average Fitness,Diversity Fitness,Diversity Population,Time spent
0,-524.2943636108527,-2161.526881064204,1106.028656148628,65.15846631205673,3749.2467889785767
1,-449.32929341363854,-2468.6940122928604,1157.0131974697263,66.45234929078015,3749.2467889785767
2,-371.9614413982361,-2472.268208485028,1143.6796735927712,65.56493794326241,3749.2467889785767
3,-511.3506622002711,-2813.9610608043295,1230.8843132449852,65.37632978723404,3749.2467889785767
4,-491.0566751515138,-2682.79019516243,1097.0412405474615,65.67531028368795,3749.2467889785767
5,-593.9861049639626,-2765.2505184965253,917.005847543165,63.34175531914894,3749.2467889785767
6,-598.2426985144818,-2710.4848656629633,823.2480396775181,62.63630319148936,3749.2467889785767
7,-609.4750778519906,-2773.0518426833114,905.2383559545756,60.52415780141844,3749.2467889785767
8,-636.1643249607243,-2729.115452344664,968.7506995670266,62.0303634751773,3749.2467889785767
9,-655.1791938305164,-2688.2825175932294,962.622461449771,60.90048758865248,3749.2467889785767
10,-561.449664941269,-2876.784317927983,1044.7906276475771,59.110593971631204,3749.2467889785767
11,-508.31177672999416,-2981.598001243761,1061.6017586715805,60.743129432624116,3749.2467889785767
12,-454.9168319275598,-3039.0815445151525,1090.797827944232,59.401595744680854,3749.2467889785767
13,-596.7653647438535,-3210.700907533292,1051.8529402761656,59.15336879432624,3749.2467889785767
14,-698.390678618322,-3054.6319258218773,1114.9409982497625,58.3167109929078,3749.2467889785767
15,-540.2322710631641,-3197.460211611251,1215.0340377036734,56.55097517730496,3749.2467889785767
16,-690.3905061210756,-3233.0512119625078,1301.8348584361195,58.090647163120565,3749.2467889785767
17,-534.6202282467185,-3162.429363461619,1515.7588929152369,60.332668439716315,3749.2467889785767
18,-503.8405817101104,-3072.40627273376,1288.7416617619988,61.100620567375884,3749.2467889785767
19,-594.8857977426767,-3111.4257757640303,1019.6822998657956,60.30252659574468,3749.2467889785767
20,-921.274319020818,-3271.823760473198,1037.2422157269668,59.519503546099294,3749.2467889785767
21,-887.9942521395328,-3335.3610168317355,1274.81076635166,55.22140957446808,3749.2467889785767
22,-860.714625673279,-3351.0633081669616,1312.110370652394,56.160904255319146,3749.2467889785767
23,-479.97255817215466,-3296.705252690886,1362.0164446029517,57.635416666666664,3749.2467889785767
24,-629.1880049257904,-3528.6408823825245,1639.965277711124,53.809397163120565,3749.2467889785767
