,Best Fitness,Average Fitness,Diversity Fitness,Diversity Population,Time spent
0,-359.87488276503757,-2349.1727551969575,1115.8988497456733,60.65403368794326,3755.0815789699554
1,-341.77727460738305,-1246.41169489003,934.6371713358058,39.277482269503544,3755.0815789699554
2,-280.8505664893576,-1121.0197441761702,686.0810585103158,31.10195035460993,3755.0815789699554
3,-352.59590878940963,-962.0729840723156,500.55566044934045,35.58510638297872,3755.0815789699554
4,-273.9737204172249,-837.7526895741008,436.7218354674077,18.310948581560282,3755.0815789699554
5,-218.37625259867633,-685.2837876199329,403.15738101550386,11.554742907801419,3755.0815789699554
6,-143.541599429799,-784.1752973627459,664.4854341242733,12.58133865248227,3755.0815789699554
7,-136.40769372082406,-716.284592797665,424.9207045110792,12.712765957446809,3755.0815789699554
8,-247.06292774780474,-725.3290596360935,480.4167816891741,14.12256205673759,3755.0815789699554
9,-231.90962515804802,-800.6699459411238,540.9216746599792,14.525709219858156,3755.0815789699554
10,-231.9240914733784,-667.6092309707492,409.44866640742663,19.02238475177305,3755.0815789699554
11,-90.90693037529283,-809.7203911262753,509.2184439868832,14.135859929078014,3755.0815789699554
12,-194.30662980769756,-706.11279664628,538.1454843625784,21.305186170212767,3755.0815789699554
13,-211.36916049859013,-661.023839587135,646.4864962262765,18.34773936170213,3755.0815789699554
14,-200.9368178097044,-717.7297531608432,616.9267918844254,15.085106382978724,3755.0815789699554
15,6.860521045058661,-699.8007571734666,499.11406182553094,16.931959219858157,3755.0815789699554
16,-163.30820867374138,-561.06214329658,391.0501666666862,9.410017730496454,3755.0815789699554
17,-97.10342128607934,-656.1580755482446,456.867005427371,12.09131205673759,3755.0815789699554
18,-142.7124455271133,-612.0870872808608,359.28197763725495,7.54543439716312,3755.0815789699554
19,-247.05644663189,-721.8504628773,675.6884058793527,11.988696808510639,3755.0815789699554
20,-152.71858984809774,-986.9706156365161,721.8258419075274,19.767508865248228,3755.0815789699554
21,-188.64101834847378,-610.0437801031946,327.8716534147346,12.585328014184396,3755.0815789699554
22,-72.67725299748078,-670.756213621549,639.1004470541841,16.041001773049647,3755.0815789699554
23,-176.118861111316,-608.5100427855045,462.8017516650748,12.91156914893617,3755.0815789699554
24,-217.62886722704195,-775.0916568147937,590.6698755140225,19.13497340425532,3755.0815789699554
25,-140.83875505960575,-657.6845130229091,394.4966662635081,12.854831560283689,3755.0815789699554
26,-193.4501194334853,-635.3904104146112,368.0692634729507,13.475398936170214,3755.0815789699554
27,-183.23857923026182,-647.326882444525,492.2409488618811,12.087101063829786,3755.0815789699554
28,-146.68773595291918,-575.5762077374944,363.2168893748226,12.623005319148936,3755.0815789699554
29,-98.06380536474768,-683.5751814776337,459.18728806993676,17.10128546099291,3755.0815789699554
30,-108.40928539351049,-573.9845000513402,491.50562994597584,10.41156914893617,3755.0815789699554
31,-51.74326889026338,-540.4634542478631,249.17022786519453,11.862810283687944,3755.0815789699554
32,-142.4836524260843,-613.6889095272123,329.6368619040993,17.05673758865248,3755.0815789699554
33,1.7899266140224768,-650.1317384782864,661.6727284215481,12.575576241134751,3755.0815789699554
34,-113.0772171582625,-534.9079607113273,284.838172880685,15.893617021276595,3755.0815789699554
35,-185.16449039626906,-634.1644224499979,449.9137338380081,18.74046985815603,3755.0815789699554
36,-78.25102639108253,-555.2336959113792,386.41545127075864,14.301418439716311,3755.0815789699554
37,-148.342705538784,-666.9449265536988,432.7478367366037,16.954343971631207,3755.0815789699554
38,-129.86473745825492,-606.7996107300033,327.8565635721751,16.47406914893617,3755.0815789699554
39,-42.28195518667371,-581.324453852763,549.0648533022822,11.728945035460994,3755.0815789699554
40,-142.69880967215283,-573.2764535343222,408.0876882564677,15.25709219858156,3755.0815789699554
41,9.491527513753667,-686.7514105024476,502.13558402372655,17.77947695035461,3755.0815789699554
42,-137.59775605175486,-765.6586865887313,595.3801496516629,17.76174645390071,3755.0815789699554
43,-116.77662204299963,-790.4582725627,695.323821432765,12.724955673758865,3755.0815789699554
44,-149.109775286235,-729.2641748132668,388.307188501606,10.136968085106384,3755.0815789699554
45,-150.87646393401064,-903.0332046173404,750.3793939760355,9.202127659574469,3755.0815789699554
46,-212.75461753270235,-888.1307723526169,815.4003572020905,9.769725177304965,3755.0815789699554
47,-110.55728605118611,-791.694309569389,523.6395270254532,11.873670212765957,3755.0815789699554
48,-42.81878300450968,-830.9304883181185,658.0796099725724,12.934175531914894,3755.0815789699554
49,-100.3552165114451,-1120.064073423962,1095.0511539862202,21.29654255319149,3755.0815789699554
50,-2.22978061201124,-732.2198727163383,516.4201180402648,23.750886524822697,3755.0815789699554
51,-106.26159345777184,-662.2799914283261,511.7033919535603,17.46830673758865,3755.0815789699554
52,81.67900330409192,-670.0893056305949,733.900622640059,17.13674645390071,3755.0815789699554
53,40.12198403547888,-620.6956615380742,796.2624278842532,17.65735815602837,3755.0815789699554
54,279.68308634005245,-485.5001801710484,441.7853168274503,16.00709219858156,3755.0815789699554
55,77.23830623357166,-545.7181021182912,340.57967173115196,11.183732269503546,3755.0815789699554
56,-37.570128232609925,-483.66231137445857,373.0902157925469,9.2322695035461,3755.0815789699554
57,-43.66764434683952,-760.263654767184,718.8889008844344,15.009308510638299,3755.0815789699554
58,-10.165225763444823,-630.8981887956996,459.17944351922716,14.80186170212766,3755.0815789699554
59,-58.91525874765193,-457.69123802786925,247.2417723682066,12.082890070921986,3755.0815789699554
60,-7.080820602185888,-427.2929789258813,225.8335303248355,8.376329787234043,3755.0815789699554
61,8.727503885626021,-502.1582083704047,753.512352837856,11.480718085106384,3755.0815789699554
